Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
evCash,items,Item,,,Epic Bucks,Custom currency display name,Epische Taler,Dinero Épico,Billets Épiques,Soldi Epici,エピックバックス,에픽 벅스,Epickie Baki,Dinheiro Épico,Эпик Баксы,Epik Dolar,史诗券,史詩券
evCashDesc,items,Item,,,"Bright currency of this server's community. Earn these from admins and exchange them for exclusive items at the crafting station.",Item description,"Helle Währung dieser Server-Community. Erhalte sie von Admins und tausche sie gegen exklusive Gegenstände an der Werkbank.","Moneda brillante de esta comunidad. Gánalas con los admins y canjéalas por objetos exclusivos en la estación de crafteo.","Monnaie lumineuse de cette communauté. Obtenez-en auprès des admins et échangez-les contre des objets exclusifs à l'atelier.","Valuta luminosa di questa comunità. Guadagnala dagli admin e scambiala con oggetti esclusivi alla stazione di crafting.","このサーバーコミュニティの輝く通貨。管理者から入手してクラフト台で限定アイテムと交換しよう。","이 서버 커뮤니티의 밝은 화폐. 관리자에게 받아서 제작대에서 독점 아이템과 교환하세요.","Jasna waluta tej społeczności. Zdobądź ją od adminów i wymieniaj na ekskluzywne przedmioty przy stole rzemieślniczym.","Moeda brilhante desta comunidade. Ganhe dos admins e troque por itens exclusivos na estação de criação.",Яркая валюта данного сервера. Получайте её от администраторов и обменивайте на эксклюзивные предметы за крафтовым столом.,"Bu sunucu topluluğunun parlak para birimi. Yöneticilerden kazanın ve onu zanaatkâr tezgâhında özel eşyalarla değiştirin.","此服务器社区的专属货币。从管理员处获取并在合成台兑换专属物品。","此伺服器社群的專屬貨幣。從管理員處獲取並在合成台兌換專屬物品。"
evMotorcycleStarterBundle,items,Item,,,Motorcycle Starter Kit,Bundle display name,Motorrad-Startpaket,Kit de Inicio de Motocicleta,Kit de Démarrage Moto,Kit Avviamento Moto,バイクスターターキット,오토바이 스타터 키트,Motocyklowy Zestaw Startowy,Kit Inicial de Motocicleta,Мотоцикл — стартовый набор,Motosiklet Başlangıç Kiti,摩托车入门套装,摩托車入門套裝
evMotorcycleStarterBundleDesc,items,Item,,,"Open to receive a fully assembled motorcycle, 5000 gasoline cans, and a Fuel Saver vehicle mod.",Bundle description,,,,,,,,,"Откройте, чтобы получить собранный мотоцикл, 5 000 канистр бензина и мод «Экономия топлива».",,,
evMinibikeStarterBundle,items,Item,,,Minibike Starter Kit,Bundle display name,Minibike-Startpaket,Kit de Inicio de Minibike,Kit de Démarrage Minibike,Kit Avviamento Minibike,ミニバイクスターターキット,미니바이크 스타터 키트,Zestaw Startowy Minibike,Kit Inicial de Minibike,Минибайк — стартовый набор,Minibike Başlangıç Kiti,迷你摩托入门套装,迷你摩托入門套裝
evMinibikeStarterBundleDesc,items,Item,,,"Open to receive a fully assembled minibike, 3000 gasoline cans, and a Super Charger vehicle mod.",Bundle description,,,,,,,,,"Откройте, чтобы получить собранный минибайк, 3 000 канистр бензина и мод «Суперзарядка».",,,
evBicycleBundle,items,Item,,,Bicycle Kit,Bundle display name,Fahrrad-Paket,Kit de Bicicleta,Kit Vélo,Kit Bicicletta,自転車キット,자전거 키트,Zestaw Rowerowy,Kit de Bicicleta,Велосипед — комплект,Bisiklet Kiti,自行车套装,自行車套裝
evBicycleBundleDesc,items,Item,,,"Open to receive a fully assembled bicycle and 2 Vehicle Storage mods.",Bundle description,,,,,,,,,"Откройте, чтобы получить собранный велосипед и 2 мода «Хранилище транспорта».",,,
evTruckStarterBundle,items,Item,,,4x4 Truck Starter Kit,Bundle display name,4x4-Truck-Startpaket,Kit de Inicio de Camión 4x4,Kit de Démarrage Camion 4x4,Kit Avviamento Camion 4x4,4x4トラックスターターキット,4x4 트럭 스타터 키트,Zestaw Startowy Ciężarówki 4x4,Kit Inicial de Caminhão 4x4,Грузовик 4x4 — стартовый набор,4x4 Kamyon Başlangıç Kiti,4x4卡车入门套装,4x4卡車入門套裝
evTruckStarterBundleDesc,items,Item,,,"Open to receive a fully assembled 4x4 truck, 12000 gasoline cans, a Fuel Saver, a Super Charger, and a Reserve Fuel Tank vehicle mod.",Bundle description,,,,,,,,,"Откройте, чтобы получить собранный грузовик 4x4, 12 000 канистр бензина и моды «Экономия топлива», «Суперзарядка» и «Запасной бак».",,,
